date	count	package
2024-01-18	12	ottrpal
2024-01-19	9	ottrpal
2024-01-20	42	ottrpal
2024-01-21	4	ottrpal
2024-01-22	7	ottrpal
2024-01-23	52	ottrpal
2024-01-24	124	ottrpal
2024-01-25	110	ottrpal
2024-01-26	46	ottrpal
2024-01-27	4	ottrpal
2024-01-28	3	ottrpal
2024-01-29	60	ottrpal
2024-01-30	22	ottrpal
2024-01-31	19	ottrpal
2024-02-01	44	ottrpal
2024-02-02	6	ottrpal
2024-02-03	17	ottrpal
2024-02-04	43	ottrpal
2024-02-05	44	ottrpal
2024-02-06	6	ottrpal
2024-02-07	12	ottrpal
2024-02-08	50	ottrpal
2024-02-09	4	ottrpal
2024-02-10	4	ottrpal
2024-02-11	42	ottrpal
2024-02-12	6	ottrpal
2024-02-13	7	ottrpal
2024-02-14	50	ottrpal
2024-02-15	4	ottrpal
2024-02-16	5	ottrpal
2024-02-17	45	ottrpal
2024-02-18	5	ottrpal
2024-02-19	7	ottrpal
2024-02-20	49	ottrpal
2024-02-21	12	ottrpal
2024-02-22	5	ottrpal
2024-02-23	50	ottrpal
2024-02-24	10	ottrpal
2024-02-25	8	ottrpal
2024-02-26	11	ottrpal
2024-02-27	45	ottrpal
2024-02-28	20	ottrpal
2024-02-29	8	ottrpal
2024-03-01	47	ottrpal
2024-03-02	3	ottrpal
2024-03-03	3	ottrpal
2024-03-04	47	ottrpal
2024-03-05	7	ottrpal
2024-03-06	12	ottrpal
2024-03-07	50	ottrpal
2024-03-08	12	ottrpal
2024-03-09	5	ottrpal
2024-03-10	46	ottrpal
2024-03-11	5	ottrpal
2024-03-12	10	ottrpal
2024-03-13	53	ottrpal
2024-03-14	10	ottrpal
2024-03-15	9	ottrpal
2024-03-16	52	ottrpal
2024-03-17	7	ottrpal
2024-03-18	12	ottrpal
2024-03-19	50	ottrpal
2024-03-20	8	ottrpal
2024-03-21	18	ottrpal
2024-03-22	44	ottrpal
2024-03-23	7	ottrpal
2024-03-24	7	ottrpal
2024-03-25	48	ottrpal
2024-03-26	11	ottrpal
2024-03-27	18	ottrpal
2024-03-28	50	ottrpal
2024-03-29	10	ottrpal
2024-03-30	52	ottrpal
2024-03-31	8	ottrpal
2024-04-01	12	ottrpal
2024-04-02	51	ottrpal
2024-04-03	16	ottrpal
2024-04-04	10	ottrpal
2024-04-05	48	ottrpal
2024-04-06	5	ottrpal
2024-04-07	3	ottrpal
2024-04-08	49	ottrpal
2024-04-09	3	ottrpal
2024-04-10	13	ottrpal
2024-04-11	46	ottrpal
2024-04-12	5	ottrpal
